Dataset	Total Images	Brightfield Imaging	Brightfield Imaging	Brightfield Imaging	Brightfield Imaging	Brightfield Imaging	Brightfield Imaging	Fluorescent Imaging	Fluorescent Imaging	Fluorescent Imaging	Confocal Imaging	Mass Spectrometry Imaging	Overview	Note
Dataset	Total Images	Brightfield	H&E	DAB	cIHC	Phase-contrast	DIC	Multiplexed	Brightfield (Vectra)	IF/DAPI	Confocal Imaging	Mass Spectrometry Imaging	Overview	Note
SegPath	584.796	0	292.398	0	0	0	0	0	0	292.398	0	0	SegPath is a large-scale dataset designed for semantic segmentation of H&E-stained histology images, specifically focusing on eight major cell types found in tumor tissue. The dataset provides annotated histopathology images, enabling the development and evaluation of machine learning models for cell-type segmentation in cancer histology.	"H&E-stained images with nucleus and cell segmentation annotations for: 1. epithelial cells (anti-panCK) Total: 48.502; 2. smooth muscle cells/myofibroblasts (anti-_SMA) Total: 57.380; 3. red blood cells (anti-CD235a) Total: 47.372; 4. leukocytes (anti-CD45RB) Total: 45.636; 5. lymphocytes (anti-CD3/CD20) Total: 22.384; 6. endothelial cells (anti-ERG) Total: 20.070; 7. plasma cells (anti-MIST1) Total: 24.570; 8. myeloid cells (anti-MNDA) Total: 26.484"
SNOW	20.000	11.670	0	0	0	0	0	0	0	5.260	3.070	0	The SNOW dataset is a synthetic histopathology dataset for nuclei segmentation. It allows scalable, privacy-compliant machine learning training without requiring human-labeled medical data.	20.000 tiles with 1.448.522 annotated nuclei.
NeurIPS Challenge	1.679	0	0	0	515	421	280	0	0	463	0	0	This is the official data set for the NeurIPS 2022 competition: cell segmentation in multi-modality microscopy images.	This is an instance segmentation task where each cell has an individual label under the same category (cells). The training set contains both labeled images and unlabeled images. You can only use the labeled images to develop your model but we encourage participants to try to explore the unlabeled images through weakly supervised learning, semi-supervised learning, and self-supervised learning.
TissueNet	10.075	0	0	0	0	0	0	6.038	1.923	0	1.730	2.114	A principal challenge in the analysis of tissue imaging data is cell segmentation—the task of identifying the precise boundary of every cell in an image. To address this problem we constructed TissueNet, a dataset for training segmentation models that contains more than 1 million manually labeled cells, an order of magnitude more than all previously published segmentation training datasets.	"Annotations: CODEX: 350k cell; CyCIF: ~325K cell; Vectra: ~250K cell; MIBI: ~225K cell; MxIF: ~110K cell; IMC: ~50K cell"
DynamicNuclearNet	7.022	0	0	0	0	0	0	4.681	2.341	0	0	0	A principal challenge in the analysis of tissue imaging data is cell segmentation—the task of identifying the precise boundary of every cell in an image. To address this problem we constructed TissueNet, a dataset for training segmentation models that contains more than 1 million manually labeled cells, an order of magnitude more than all previously published segmentation training datasets.	
BCData	1.338	0	0	0	1.338	0	0	0	0	0	0	0	1,338 images with 181,074 annotated cells belonging to two categories, i.e., positive and negative tumor cells.	
PanNuke	7.901	0	7.901	0	0	0	0	0	0	0	0	0	PanNuke is a semi automatically generated nuclei instance segmentation and classification dataset with exhaustive nuclei labels across 19 different tissue types. The dataset consists of 481 visual fields, of which 312 are randomly sampled from more than 20K whole slide images at different magnifications, from multiple data sources. In total the dataset contains 205,343 labeled nuclei, each with an instance segmentation mask.	Please note that the dataset was created by extracting patches from whole-slide images (WSIs). As a result, some nuclei located at the edges of patches may be cropped, with fewer than 10 visible pixels in certain cases.
DSB2018	37.333	118	4.339	0	0	0	0	0	0	32.876	0	0	The Data Science Bowl 2018 (DSB2018) dataset is a nucleus segmentation dataset containing images from various microscopy techniques (brightfield, fluorescence, histopathology, etc.).	
BBBC	11.423.738	2.774	0	0	529	0	0	0	0	11.290.552	129.883	0	The BBBC is a repository of freely downloadable microscopy image sets, each accompanied by biological annotations. It’s designed to serve as a reference for developing and validating image analysis algorithms in the life sciences.  	
DAB (our own dataset)	4.977	0	0	4.977	0	0	0	0	0	0	0	0	Our Dataset, produced by Neila, contains 4.977 Dab-Stained Images of Placental Tissue 	"Markers include: PD1, PDL1, HLAG2, HLAG5, ACE2, CD28 and COVID SPIKE. For woman: 1. With COVID / Without Preeclampsia; 2. Without Covid / With Preeclampsia; and 3. With COVID / with preeclampsia."
