antibody,filename,train_val_test
CD235a,CD235a_RBC/CD235a_RBC_081_124928_070656_mask.png,train
CD235a,CD235a_RBC/CD235a_RBC_166_070656_075776_mask.png,train
CD235a,CD235a_RBC/CD235a_RBC_266_032768_066560_mask.png,train
CD235a,CD235a_RBC/CD235a_RBC_040_106496_032768_mask.png,train
CD235a,CD235a_RBC/CD235a_RBC_343_144384_056320_mask.png,train
CD235a,CD235a_RBC/CD235a_RBC_228_039936_088064_mask.png,train
CD235a,CD235a_RBC/CD235a_RBC_266_048128_093184_HE.png,train
CD235a,CD235a_RBC/CD235a_RBC_385_056320_066560_mask.png,train
CD235a,CD235a_RBC/CD235a_RBC_282_139264_049152_HE.png,train
CD235a,CD235a_RBC/CD235a_RBC_167_055296_073728_HE.png,train
CD235a,CD235a_RBC/CD235a_RBC_228_044032_064512_mask.png,train
CD235a,CD235a_RBC/CD235a_RBC_172_128000_082944_HE.png,train
CD235a,CD235a_RBC/CD235a_RBC_167_135168_066560_mask.png,train
CD235a,CD235a_RBC/CD235a_RBC_343_130048_054272_HE.png,train
CD235a,CD235a_RBC/CD235a_RBC_274_028672_072704_mask.png,train
CD235a,CD235a_RBC/CD235a_RBC_081_023552_013312_HE.png,train
CD235a,CD235a_RBC/CD235a_RBC_166_041984_048128_HE.png,train
CD235a,CD235a_RBC/CD235a_RBC_228_106496_048128_HE.png,train
CD235a,CD235a_RBC/CD235a_RBC_166_071680_023552_HE.png,train
CD235a,CD235a_RBC/CD235a_RBC_172_081920_061440_HE.png,train
CD235a,CD235a_RBC/CD235a_RBC_098_044032_091136_HE.png,train
CD235a,CD235a_RBC/CD235a_RBC_033_114688_056320_HE.png,train
CD235a,CD235a_RBC/CD235a_RBC_231_084992_062464_mask.png,train
CD235a,CD235a_RBC/CD235a_RBC_282_094208_060416_mask.png,train
CD235a,CD235a_RBC/CD235a_RBC_343_090112_078848_mask.png,train
CD235a,CD235a_RBC/CD235a_RBC_343_074752_075776_mask.png,train
CD235a,CD235a_RBC/CD235a_RBC_228_140288_027648_mask.png,train
CD235a,CD235a_RBC/CD235a_RBC_385_111616_038912_HE.png,train
CD235a,CD235a_RBC/CD235a_RBC_282_104448_019456_HE.png,train
CD235a,CD235a_RBC/CD235a_RBC_172_037888_088064_mask.png,train
CD235a,CD235a_RBC/CD235a_RBC_231_132096_022528_mask.png,train
CD235a,CD235a_RBC/CD235a_RBC_172_138240_044032_HE.png,train
CD235a,CD235a_RBC/CD235a_RBC_098_046080_021504_HE.png,train
CD235a,CD235a_RBC/CD235a_RBC_274_055296_020480_HE.png,train
