antibody,filename,train_val_test
MIST1,MIST1_PlasmaCell/MIST1_PlasmaCell_268_078848_054272_mask.png,train
MIST1,MIST1_PlasmaCell/MIST1_PlasmaCell_268_105472_078848_HE.png,train
MIST1,MIST1_PlasmaCell/MIST1_PlasmaCell_282_104448_087040_HE.png,train
MIST1,MIST1_PlasmaCell/MIST1_PlasmaCell_270_063488_074752_mask.png,train
MIST1,MIST1_PlasmaCell/MIST1_PlasmaCell_388_116736_051200_mask.png,train
MIST1,MIST1_PlasmaCell/MIST1_PlasmaCell_066_082944_049152_HE.png,train
MIST1,MIST1_PlasmaCell/MIST1_PlasmaCell_017_086016_066560_HE.png,train
MIST1,MIST1_PlasmaCell/MIST1_PlasmaCell_282_096256_025600_HE.png,train
MIST1,MIST1_PlasmaCell/MIST1_PlasmaCell_270_054272_048128_HE.png,train
MIST1,MIST1_PlasmaCell/MIST1_PlasmaCell_024_107520_064512_HE.png,train
MIST1,MIST1_PlasmaCell/MIST1_PlasmaCell_334_064512_069632_HE.png,train
MIST1,MIST1_PlasmaCell/MIST1_PlasmaCell_388_102400_040960_mask.png,train
MIST1,MIST1_PlasmaCell/MIST1_PlasmaCell_270_124928_089088_mask.png,train
MIST1,MIST1_PlasmaCell/MIST1_PlasmaCell_231_132096_044032_HE.png,train
MIST1,MIST1_PlasmaCell/MIST1_PlasmaCell_268_119808_065536_HE.png,train
MIST1,MIST1_PlasmaCell/MIST1_PlasmaCell_270_051200_027648_mask.png,train
MIST1,MIST1_PlasmaCell/MIST1_PlasmaCell_017_137216_019456_mask.png,train
MIST1,MIST1_PlasmaCell/MIST1_PlasmaCell_345_142336_087040_HE.png,train
MIST1,MIST1_PlasmaCell/MIST1_PlasmaCell_334_050176_059392_HE.png,train
MIST1,MIST1_PlasmaCell/MIST1_PlasmaCell_230_112640_036864_HE.png,train
MIST1,MIST1_PlasmaCell/MIST1_PlasmaCell_270_040960_051200_mask.png,train
MIST1,MIST1_PlasmaCell/MIST1_PlasmaCell_259_120832_045056_HE.png,train
MIST1,MIST1_PlasmaCell/MIST1_PlasmaCell_259_131072_018432_mask.png,train
